tipo_dia,tipo_encontro,meteo,tv,encontro
semana,jantar,quente,mau,sim
semana,jantar,frio,bom,nao
semana,jantar,quente,bom,sim
semana,jantar,frio,mau,nao
semana,jantar,quente,bom,sim
semana,disco,quente,bom,nao
semana,disco,quente,mau,nao
semana,disco,frio,bom,nao
semana,disco,frio,mau,nao
fim_semana,disco,quente,mau,sim
fim_semana,disco,quente,bom,sim
fim_semana,disco,frio,mau,sim
fim_semana,disco,frio,bom,sim
fim_semana,jantar,quente,mau,sim
fim_semana,jantar,quente,bom,nao
fim_semana,jantar,frio,mau,nao
fim_semana,jantar,frio,bom,nao